Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
1-Alkyl-2-acetylglycerophosphocholine esterase,Chemicals and drugs,N/A,ENSG00000134222.12,PSRC1,protein coding,Protein-coding transcript,"chr1:109,822,178-109,825,808",11.4,2.7,1.4,0,0.5,0.4,0.1,0.1,0.5,1.4,0.7,0.3,0.6,0.6,0.8,7.22E-05,N/A,1.10E-04,N/A,N/A,N/A,N/A,N/A,N/A,1.39E-02,N/A,N/A,N/A,N/A,N/A,3
1-Alkyl-2-acetylglycerophosphocholine esterase,Chemicals and drugs,N/A,ENSG00000153291.11,SLC25A27,protein coding,Protein-coding transcript,"chr6:46,620,678-46,645,930",2,0.2,0.6,2.2,2.8,4.4,0.8,1.7,7.5,1.8,1.5,1.4,1,1,2.4,2.52E-03,N/A,N/A,N/A,1.43E-02,8.80E-04,N/A,N/A,2.32E-03,N/A,N/A,N/A,N/A,N/A,N/A,4
1-Alkyl-2-acetylglycerophosphocholine esterase,Chemicals and drugs,N/A,ENSG00000175155.4,YPEL2,protein coding,Protein-coding transcript,"chr17:57,409,050-57,479,090",79.9,214.1,30.9,89.6,86.9,107.9,22,21.4,113.2,112.1,48.4,45.6,57,59.5,60.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.29E-02,N/A,N/A,N/A,N/A,1.18E-02,2
1-Alkyl-2-acetylglycerophosphocholine esterase,Chemicals and drugs,N/A,ENSG00000189050.10,RNFT1,protein coding,Protein-coding transcript,"chr17:58,029,601-58,042,122",19.2,44.2,26.9,34.3,27.7,25.6,19.1,13,30.7,14.5,18.5,24.2,17,20.2,14.6,N/A,1.35E-02,N/A,N/A,N/A,8.64E-03,N/A,3.98E-03,8.85E-03,N/A,1.58E-03,1.03E-04,3.25E-04,6.30E-03,N/A,8
1-Alkyl-2-acetylglycerophosphocholine esterase,Chemicals and drugs,N/A,ENSG00000267637.1,RP11-619I22.1,sense intronic,lncRNA,"chr17:57,862,174-57,862,396",0.8,1.3,0.1,0.2,0.1,0.1,1.3,0.1,0.2,0.1,0.3,0.3,0.1,0.2,0.1,N/A,N/A,N/A,N/A,N/A,N/A,2.39E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
ADAMTS13 protein,Other,N/A,ENSG00000148290.5,SURF1,protein coding,Protein-coding transcript,"chr9:136,218,610-136,223,552",47.5,51.1,51.9,41.3,56.1,59.2,29.6,34.4,51.8,67.6,60.9,53.5,61.2,59.4,63.6,N/A,N/A,N/A,N/A,N/A,N/A,1.08E-02,8.77E-04,N/A,N/A,N/A,N/A,2.06E-02,N/A,N/A,3
ADAMTS13 protein,Other,N/A,ENSG00000148296.5,SURF6,protein coding,Protein-coding transcript,"chr9:136,197,552-136,203,235",22.5,21.1,37.8,29.7,36.9,41.7,111,120.2,42.8,37.6,38.5,30.1,33.1,34.9,48.1,1.23E-05,1.28E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
ADAMTS13 protein,Other,N/A,ENSG00000160325.10,CACFD1,protein coding,Protein-coding transcript,"chr9:136,325,089-136,335,970",9,10.9,5.3,18.1,2.2,5.8,2,4.5,4.1,3,3.1,1.6,2.1,2.3,3.7,N/A,N/A,N/A,N/A,N/A,N/A,6.88E-05,9.80E-04,N/A,N/A,N/A,1.67E-02,N/A,4.52E-03,N/A,4
Acne vulgaris,Skin and connective tissue diseases,N/A,ENSG00000134574.7,DDB2,protein coding,Protein-coding transcript,"chr11:47,236,493-47,260,767",30.9,72.8,123.3,62,94.2,79.2,37.4,37,100.5,173.5,122.2,101.3,114,107.1,118.9,1.15E-08,1.88E-03,N/A,5.58E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Acne vulgaris,Skin and connective tissue diseases,N/A,ENSG00000134575.5,ACP2,protein coding,Protein-coding transcript,"chr11:47,260,853-47,270,457",10.7,26.2,12,5.8,8.3,8.1,9.3,11.1,8.9,15.6,11.6,9,10,10.3,12.8,8.92E-05,1.31E-02,N/A,N/A,N/A,N/A,N/A,3.23E-03,2.26E-02,2.41E-02,N/A,N/A,N/A,N/A,N/A,5
Acne vulgaris,Skin and connective tissue diseases,N/A,ENSG00000172922.4,RNASEH2C,protein coding,Protein-coding transcript,"chr11:65,482,367-65,488,418",40.3,40.2,97.2,88.6,76.9,83.5,59.8,71.1,83.1,74.4,77.6,58.6,66.6,67.5,87.6,N/A,N/A,N/A,N/A,N/A,5.35E-03,N/A,N/A,2.76E-03,N/A,4.70E-02,N/A,5.60E-03,9.90E-04,1.99E-03,6
Acquired immunodeficiency syndrome,Immune system diseases; Virus diseases,N/A,ENSG00000204392.6,LSM2,protein coding,Protein-coding transcript,"chr6:31,765,173-31,774,761",17.3,12.3,37.1,22.8,25.1,33.8,32,45.4,29.1,42.9,25.7,21.6,25.9,24.7,27.3,N/A,5.67E-03,N/A,N/A,N/A,N/A,2.36E-02,N/A,3.24E-02,1.48E-02,N/A,N/A,N/A,N/A,N/A,4
Acquired immunodeficiency syndrome,Immune system diseases; Virus diseases,N/A,ENSG00000204516.5,MICB,protein coding,Protein-coding transcript,"chr6:31,462,658-31,478,901",40.5,50.5,94.8,50.8,33,32.4,11.8,17.7,39.4,69.6,56.2,53.7,54.9,53,51.9,2.42E-05,9.88E-05,3.60E-04,1.11E-02,2.07E-02,9.94E-03,N/A,N/A,3.45E-03,1.38E-12,2.03E-05,3.74E-07,1.03E-09,8.63E-07,1.98E-07,13
Acquired immunodeficiency syndrome,Immune system diseases; Virus diseases,N/A,ENSG00000272221.1,XXbac-BPG181B23.7,lincRNA,lncRNA,"chr6:31,362,066-31,363,272",5.9,7.4,13.5,13.5,16.2,12,3,3.2,19.7,18.5,13.7,12.4,13.5,12.3,13.9,8.52E-15,2.13E-15,2.95E-13,7.94E-17,9.30E-15,6.16E-15,1.09E-09,4.46E-12,4.12E-17,3.91E-15,1.14E-15,1.01E-14,8.41E-17,2.39E-17,1.71E-15,15
Acute coronary syndrome,Cardiovascular diseases,N/A,ENSG00000101439.4,CST3,protein coding,Protein-coding transcript,"chr20:23,608,534-23,619,110",2360.7,1701.4,30.1,0.8,6.4,7.2,0.6,0.8,8.5,13.7,3.7,1.2,1.6,1.6,11.9,N/A,N/A,6.15E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.04E-03,2
Acute-on-chronic liver failure,Digestive system diseases,N/A,ENSG00000196735.7,HLA-DQA1,protein coding,Protein-coding transcript,"chr6:32,595,956-32,614,839",33.3,26.1,1.2,248.2,1.1,0.9,1.2,1,0.5,7,0.4,0.1,0.5,0.5,0.5,7.21E-21,9.13E-12,7.35E-03,5.21E-24,1.10E-16,N/A,1.01E-16,N/A,N/A,1.75E-12,N/A,N/A,N/A,N/A,N/A,7
Acute-on-chronic liver failure,Digestive system diseases,N/A,ENSG00000204257.10,HLA-DMA,protein coding,Protein-coding transcript,"chr6:32,916,390-32,936,871",388.4,128.2,26.5,933.9,17.6,20,2.6,3.2,15.2,68.4,15.9,6.6,9.3,12.1,14.8,N/A,N/A,3.61E-02,N/A,2.52E-02,2.56E-02,4.17E-02,3.91E-02,1.47E-03,N/A,4.75E-04,8.68E-03,4.52E-04,1.44E-02,2.10E-02,11
Acylcarnitine,Other,N/A,ENSG00000052795.8,FNIP2,protein coding,Protein-coding transcript,"chr4:159,690,290-159,829,201",13.3,48,12.8,0,9.2,9.8,12.9,9.6,8.7,5.3,7.6,9.7,6.7,15.2,5.4,4.13E-03,1.39E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.93E-03,3.22E-02,1.86E-03,1.34E-02,N/A,4.04E-02,7
Acylcarnitine,Other,N/A,ENSG00000057468.6,MSH4,protein coding,Protein-coding transcript,"chr1:76,262,567-76,378,923",0.1,0.4,0.4,1.2,0.6,0.5,0.2,0.2,0.7,0.2,0.4,0.6,0.4,0.4,0.3,N/A,N/A,N/A,2.53E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Acylcarnitine,Other,N/A,ENSG00000137955.11,RABGGTB,protein coding,Protein-coding transcript,"chr1:76,251,879-76,260,764",52.7,115.1,84.8,178.2,109.1,107.9,84.1,80.6,95.8,65.1,100.3,130.8,105.4,115.7,84.7,2.26E-04,3.19E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.64E-02,N/A,N/A,1.08E-02,1.69E-02,N/A,5
Acylcarnitine,Other,N/A,ENSG00000159445.8,THEM4,protein coding,Protein-coding transcript,"chr1:151,846,060-151,882,284",1.9,2.8,20.5,7.1,104.6,88.3,34.4,35.4,122.5,103.9,79.4,89.5,88.5,85.9,71.2,N/A,N/A,N/A,N/A,8.08E-03,N/A,N/A,N/A,N/A,N/A,N/A,4.70E-02,3.08E-03,1.01E-04,1.50E-04,5
Acylcarnitine,Other,N/A,ENSG00000197375.8,SLC22A5,protein coding,Protein-coding transcript,"chr5:131,705,444-131,731,306",2.4,0.5,2.8,3.7,6.5,5.6,4,4.8,5.9,3,4.4,4.2,4,4.4,4.5,6.38E-09,N/A,5.16E-11,1.22E-08,5.71E-06,5.15E-05,2.50E-13,5.78E-10,1.51E-06,1.35E-07,2.43E-04,9.35E-07,7.42E-06,1.31E-06,7.05E-06,14
Acylcarnitine,Other,N/A,ENSG00000229127.1,AC007038.7,antisense,lncRNA,"chr2:210,895,457-210,929,080",0.7,1.5,6.4,4.9,4.7,4.1,3.5,3.2,5,2.2,2,1.6,1.6,1.8,2.1,N/A,N/A,1.22E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Acylcarnitine,Other,N/A,ENSG00000233006.2,AC034220.3,processed transcript,lncRNA,"chr5:131,646,978-131,705,608",0.8,0,1.2,3.7,5.5,5.3,1,1,4.9,0.9,2.6,2.1,2.1,2.8,3.6,N/A,N/A,1.91E-02,4.87E-06,N/A,4.62E-03,N/A,N/A,N/A,N/A,3.18E-02,2.21E-02,1.22E-02,1.01E-03,2.62E-02,8
Adenocarcinoma of esophagus,Neoplasms,Cancer,ENSG00000154328.11,NEIL2,protein coding,Protein-coding transcript,"chr8:11,627,148-11,644,855",2.5,3.4,18,20.6,23.9,25.2,15.3,13.5,28.2,21.3,21.2,20.3,23.3,20.5,23.7,4.05E-02,N/A,3.15E-08,2.30E-02,6.51E-07,1.06E-05,2.67E-02,N/A,2.41E-05,1.18E-07,1.51E-09,6.62E-05,1.20E-06,2.86E-09,2.11E-07,13
Adenocarcinoma of esophagus,Neoplasms,Cancer,ENSG00000165233.13,C9orf89,protein coding,Protein-coding transcript,"chr9:95,858,500-95,875,565",69.7,25.6,10.6,3.7,10.4,15,3.4,5.3,15.4,29.4,20.7,13.2,16.7,14.2,16.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.64E-03,N/A,N/A,N/A,4.72E-02,2
Adenocarcinoma of esophagus,Neoplasms,Cancer,ENSG00000246477.2,AF131216.6,antisense,lncRNA,"chr8:11,173,374-11,182,938",1.3,3.3,4,7.7,2.8,3,2,1.6,3.1,2.4,3,3.4,2.7,3.1,2.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.61E-03,3.61E-03,N/A,7.95E-03,N/A,N/A,2.20E-04,4
Adenocarcinoma of esophagus,Neoplasms,Cancer,ENSG00000255310.2,AF131215.2,sense intronic,lncRNA,"chr8:10,965,298-10,967,236",1.1,1.7,20.3,26.1,21.7,22,14.7,13.9,23.6,18.8,16.9,19.7,18.5,17.5,24.2,N/A,N/A,4.03E-03,N/A,N/A,N/A,7.64E-03,1.10E-02,N/A,1.10E-02,N/A,3.43E-02,N/A,N/A,N/A,5
Adenocarcinoma of esophagus,Neoplasms,Cancer,ENSG00000255495.1,FAM85A,antisense,lncRNA,"chr8:12,051,976-12,053,789",0.9,1,1.1,2.3,8.7,7.4,1.9,1.8,6.4,2.7,3.8,3.3,4,4.7,4.2,N/A,N/A,N/A,9.83E-03,N/A,N/A,N/A,N/A,6.82E-03,N/A,N/A,N/A,4.54E-02,N/A,N/A,3
Adenocarcinoma of esophagus,Neoplasms,Cancer,ENSG00000269918.1,AF131215.9,sense intronic,lncRNA,"chr8:10,962,201-10,964,214",0.3,0.5,6.6,7.5,6.8,7.3,5.7,5.2,8.7,6.7,5.9,5.9,5.8,5.4,9.2,N/A,N/A,4.99E-02,1.00E-02,1.95E-02,N/A,3.17E-02,6.14E-04,N/A,4.48E-02,3.02E-02,3.80E-03,1.22E-02,N/A,N/A,9
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000164465.14,DCBLD1,protein coding,Protein-coding transcript,"chr6:117,774,980-117,891,021",2.9,4.1,7.3,0.3,2,3,1.8,2.6,4.3,2.3,4.6,3.9,2.1,1.8,3.7,7.54E-18,7.37E-19,1.34E-08,N/A,N/A,1.28E-04,N/A,N/A,1.61E-02,N/A,1.01E-02,4.03E-03,3.85E-03,1.07E-02,1.39E-03,10
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000196126.6,HLA-DRB1,protein coding,Protein-coding transcript,"chr6:32,546,546-32,557,625",1792.2,971,81.7,2016.6,15,16.4,11.7,11.4,15.1,292,30.4,8,36.8,37.1,28.1,1.30E-18,1.51E-09,3.78E-05,1.77E-12,2.56E-07,1.15E-05,8.46E-07,7.21E-07,2.65E-07,3.57E-09,2.37E-02,1.71E-11,4.08E-12,2.20E-10,4.29E-07,15
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000196735.7,HLA-DQA1,protein coding,Protein-coding transcript,"chr6:32,595,956-32,614,839",33.3,26.1,1.2,248.2,1.1,0.9,1.2,1,0.5,7,0.4,0.1,0.5,0.5,0.5,7.21E-21,9.13E-12,7.35E-03,5.21E-24,1.10E-16,N/A,1.01E-16,N/A,N/A,1.75E-12,N/A,N/A,N/A,N/A,N/A,7
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000198563.9,DDX39B,protein coding,Protein-coding transcript,"chr6:31,497,996-31,510,225",128.6,153.5,229.1,185.5,259.3,226.6,196.7,191.2,247.9,221.6,223.8,218.5,236.4,238.7,232.7,N/A,2.10E-02,N/A,N/A,N/A,1.69E-02,4.13E-02,3.40E-03,N/A,N/A,1.77E-02,N/A,N/A,N/A,N/A,5
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000204257.10,HLA-DMA,protein coding,Protein-coding transcript,"chr6:32,916,390-32,936,871",388.4,128.2,26.5,933.9,17.6,20,2.6,3.2,15.2,68.4,15.9,6.6,9.3,12.1,14.8,N/A,N/A,3.61E-02,N/A,2.52E-02,2.56E-02,4.17E-02,3.91E-02,1.47E-03,N/A,4.75E-04,8.68E-03,4.52E-04,1.44E-02,2.10E-02,11
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000207561.1,MIR635,miRNA,sncRNA,"chr17:66,420,592-66,420,689",19.1,13.4,62.1,6.6,30.2,34.3,9.3,9.7,33.7,47.4,25.3,21.9,32.7,40,34.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.19E-03,N/A,N/A,N/A,N/A,1.94E-02,N/A,6.18E-03,3
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000223865.6,HLA-DPB1,protein coding,Protein-coding transcript,"chr6:33,043,703-33,054,978",367.2,302.1,76.5,818.9,18.3,40.6,6.3,13.6,15.7,131.7,31.6,11.2,27,35.7,26.1,9.47E-04,1.06E-03,N/A,1.51E-04,N/A,N/A,N/A,N/A,1.08E-02,1.77E-03,N/A,N/A,N/A,N/A,N/A,5
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000224796.1,RPL32P1,pseudogene,Pseudogene,"chr6:33,047,228-33,047,637",50.5,22.3,11.2,357.6,4.8,9.6,0.2,0.3,2.7,15.2,5.1,2.6,4.5,7.3,4.6,1.20E-07,4.01E-04,4.58E-04,2.21E-10,1.60E-02,2.13E-05,N/A,N/A,4.65E-03,3.49E-09,2.78E-02,N/A,2.38E-03,5.20E-04,3.06E-03,12
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000225940.1,AC022431.2,protein coding,Protein-coding transcript,"chr5:55,807,394-55,902,059",0.5,8.2,0,2,0.3,0.1,0,0,0.8,1.7,0.4,0.3,0.7,0.9,0.5,N/A,4.82E-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000228265.1,RP5-1125A11.1,lincRNA,lncRNA,"chr20:32,570,858-32,582,163",1.2,1.1,1.7,1.7,1.4,1.6,1.3,1.4,1.5,1.8,1.3,1.2,1.3,1.1,1.2,N/A,N/A,N/A,N/A,N/A,1.14E-02,N/A,N/A,1.67E-02,N/A,N/A,N/A,N/A,N/A,N/A,2
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000229391.3,HLA-DRB6,pseudogene,Pseudogene,"chr6:32,520,490-32,527,799",91.1,58.2,4.4,110,1,1.2,0.5,0.5,0.8,15,1.8,0.3,1.6,1.9,1.3,2.00E-20,1.15E-20,4.64E-08,3.92E-15,5.30E-08,5.95E-11,N/A,N/A,N/A,6.27E-17,9.23E-06,N/A,3.32E-10,2.89E-12,1.02E-07,11
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000231389.3,HLA-DPA1,protein coding,Protein-coding transcript,"chr6:33,032,346-33,048,552",280.4,420.1,32.1,515.3,7.3,8.8,2.9,3.4,4.9,56.1,13.2,5.9,11.7,12.9,10.4,1.96E-06,1.14E-07,N/A,7.60E-12,1.29E-02,N/A,9.15E-04,N/A,N/A,2.62E-02,N/A,N/A,7.60E-04,6.19E-03,6.50E-03,9
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000232629.4,HLA-DQB2,protein coding,Protein-coding transcript,"chr6:32,723,875-32,731,311",31.2,12.1,1.4,108.3,0.7,0.8,1.1,0.7,1.2,13.6,1.6,0.5,2.3,2.6,1.5,6.77E-16,2.11E-12,1.46E-06,1.52E-18,N/A,N/A,2.87E-13,N/A,2.54E-12,5.55E-19,7.67E-11,N/A,2.49E-14,4.01E-14,3.06E-08,11
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000237541.3,HLA-DQA2,protein coding,Protein-coding transcript,"chr6:32,709,119-32,714,992",57.4,72.5,4.2,211.4,1.2,1.3,1.1,1.1,0.6,15.5,1.4,0.2,1.3,1.3,1,3.30E-23,3.04E-24,3.61E-13,5.21E-24,2.12E-09,2.39E-13,2.63E-11,3.29E-10,N/A,3.95E-20,6.17E-06,N/A,3.61E-12,3.90E-12,6.63E-06,13
